city,long,lat,max_tmax,min_tmax,range_tmax,mean_tmax,sd_tmax
Atlanta,-84.390304,33.75596,92.41,81.11,11.299999999999997,87.49633333333334,2.7168725470256434
Austin,-97.743788,30.265327,100.88,86.45,14.429999999999993,97.098,3.301243652803048
Boston,-71.063611,42.358056,95.41,71.19,24.22,83.16199999999999,7.620656320725974
Denver,-104.881105,39.76185,90.8,70.21,20.590000000000003,83.82900000000001,5.782717622662228
Los Angeles,-118.25,34.05,97.24,79.81,17.429999999999993,86.66966666666666,4.714068806524121
Seattle,-122.333056,47.609722,91.3,63.0,28.299999999999997,76.95533333333333,7.5637076902130795
